DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62,Topic_63,Topic_64,Topic_65,Topic_66,Topic_67,Topic_68,Topic_69,Topic_70,Topic_71,Topic_72,Topic_73,Topic_74,Topic_75,Topic_76,Topic_77,Topic_78,Topic_79,Topic_80,Topic_81,Topic_82,Topic_83,Topic_84,Topic_85,Topic_86,Topic_87,Topic_88,Topic_89,Topic_90,Topic_91,Topic_92,Topic_93,Topic_94,Topic_95,Topic_96,Topic_97,Topic_98
8042410,108,0,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.98606163,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169,0.00014372169
8132718,108,0,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.9890041,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233,0.00011338233
8673465,108,0,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.000114655064,0.9888786,0.000114655064,0.000114655064,0.000114655064
8707050,108,0,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.7453673,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.23744616,0.00017902603,0.00017902603,0.00017902603,0.00017902603,0.00017902603
9346876,108,0,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.15004481,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.8380112,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843,0.00012444843
9352931,108,0,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.98778236,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799,0.0001259799
9591694,108,0,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.98875237,0.00011595751,0.00011595751,0.00011595751,0.00011595751,0.00011595751
10051610,108,0,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.6241763,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.35304093,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682,0.00023731682
10087618,108,0,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.9700055,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034,0.00030922034
10100328,108,0,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.32391554,0.00014789696,0.00014789696,0.00014789696,0.5745073,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.08752936,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696,0.00014789696
