Fold,Topics,DictionarySize,Documents,TrainingTime,LogPerplexityTrain,Status
4,2,886,240,3.472,-6.319632784044046,Success
4,3,886,240,4.5967,-6.258433923347476,Success
4,4,886,240,2.4198,-6.171791102920305,Success
4,5,886,240,2.3809,-6.174934969318515,Success
4,6,886,240,2.9733,-6.152475590595524,Success
4,7,886,240,3.6313,-6.1835329634213885,Success
4,8,886,240,2.5156,-6.230223524976037,Success
4,9,886,240,2.4965,-6.218243242995615,Success
4,10,886,240,2.9312,-6.224256089217463,Success
4,11,886,240,3.6302,-6.23320630824159,Success
4,12,886,240,2.4907,-6.237105994438922,Success
4,13,886,240,2.6022,-6.263705916774348,Success
4,14,886,240,3.5559,-6.237617686550538,Success
4,15,886,240,3.4804,-6.260815813138342,Success
4,16,886,240,2.5883,-6.293212177413584,Success
4,17,886,240,2.5684,-6.309141554428071,Success
4,18,886,240,3.9958,-6.30564779203188,Success
4,19,886,240,2.8059,-6.35083138224737,Success
4,20,886,240,2.6177,-6.371871235248043,Success
4,21,886,240,2.4812,-6.374379955074951,Success
4,22,886,240,4.0022,-6.366509170633883,Success
4,23,886,240,2.5928,-6.390378850215208,Success
4,24,886,240,2.4661,-6.380948592701182,Success
4,25,886,240,2.5215,-6.4153090259962475,Success
4,26,886,240,4.1637,-6.404678726359571,Success
4,27,886,240,2.6078,-6.426591240150236,Success
4,28,886,240,2.5583,-6.438590977750377,Success
4,29,886,240,3.2648,-6.441409591721603,Success
4,30,886,240,3.8331,-6.423085011768167,Success
4,31,886,240,2.5878,-6.508177248941499,Success
4,32,886,240,2.6509,-6.476684374847715,Success
4,33,886,240,4.8425,-6.485406319268511,Success
4,34,886,240,2.6821,-6.449851581770637,Success
4,35,886,240,2.7346,-6.495908019629076,Success
4,36,886,240,2.7102,-6.480752152951135,Success
4,37,886,240,4.3072,-6.517334793093427,Success
4,38,886,240,3.2511,-6.5119708650720245,Success
4,39,886,240,4.122,-6.533523924707194,Success
4,40,886,240,5.5563,-6.5514867561904815,Success
4,41,886,240,3.837,-6.547213802071128,Success
4,42,886,240,4.8982,-6.570352251738669,Success
4,43,886,240,4.5092,-6.55304160655223,Success
4,44,886,240,3.829,-6.587861377422841,Success
4,45,886,240,5.9492,-6.577628840033841,Success
4,46,886,240,4.2896,-6.610931775003168,Success
4,47,886,240,5.1473,-6.58697625944315,Success
4,48,886,240,4.6609,-6.579290573809353,Success
4,49,886,240,3.8789,-6.590598718021557,Success
4,50,886,240,4.5787,-6.632345257642374,Success
4,51,886,240,3.2449,-6.607183527830594,Success
4,52,886,240,3.0564,-6.608687051680027,Success
4,53,886,240,3.5452,-6.616562641698669,Success
4,54,886,240,4.2685,-6.605829291382271,Success
4,55,886,240,4.0797,-6.674437266067419,Success
4,56,886,240,4.3493,-6.606681840782941,Success
4,57,886,240,3.9229,-6.643066954082064,Success
4,58,886,240,3.0507,-6.65243447335217,Success
4,59,886,240,3.5042,-6.712481464870092,Success
4,60,886,240,4.4119,-6.640938564228061,Success
4,61,886,240,3.0767,-6.711225262810667,Success
4,62,886,240,3.1009,-6.696929037142995,Success
4,63,886,240,4.7935,-6.711467585714564,Success
4,64,886,240,2.9785,-6.687423734708108,Success
4,65,886,240,3.1354,-6.69298582588008,Success
4,66,886,240,4.9806,-6.718728823924109,Success
4,67,886,240,3.0628,-6.7077770212283125,Success
4,68,886,240,3.1234,-6.727614654769005,Success
4,69,886,240,4.6225,-6.716065886125214,Success
4,70,886,240,3.4646,-6.717483633152888,Success
4,71,886,240,3.2782,-6.753430218278117,Success
4,72,886,240,4.6448,-6.747798984437624,Success
4,73,886,240,3.5719,-6.747508892209888,Success
4,74,886,240,3.5134,-6.739048427588292,Success
4,75,886,240,5.5309,-6.788281594526435,Success
4,76,886,240,4.746,-6.731604314147998,Success
4,77,886,240,7.1658,-6.760780221077009,Success
4,78,886,240,6.1827,-6.758197836292313,Success
4,79,886,240,8.8851,-6.827276815337581,Success
4,80,886,240,6.0984,-6.768272937996723,Success
4,81,886,240,9.5532,-6.835627372905087,Success
4,82,886,240,10.6992,-6.793727910911709,Success
4,83,886,240,12.0193,-6.793842002945316,Success
4,84,886,240,10.3384,-6.786124803101991,Success
4,85,886,240,10.4706,-6.812642038526897,Success
4,86,886,240,11.3192,-6.7994285526064155,Success
4,87,886,240,12.2612,-6.810419542340696,Success
4,88,886,240,10.7427,-6.878579850761348,Success
4,89,886,240,11.6364,-6.824433632585919,Success
4,90,886,240,12.5161,-6.864642898677318,Success
4,91,886,240,12.6346,-6.853376105294417,Success
4,92,886,240,11.6673,-6.813424059130086,Success
4,93,886,240,11.8617,-6.849940292100202,Success
4,94,886,240,12.6806,-6.87548484812978,Success
4,95,886,240,12.4255,-6.802266140188497,Success
4,96,886,240,11.5565,-6.871617153746166,Success
4,97,886,240,11.2978,-6.8278352067830825,Success
4,98,886,240,12.0235,-6.829986877508167,Success
4,99,886,240,9.581,-6.824532977246611,Success
4,100,886,240,6.8805,-6.845450999400214,Success
