DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62,Topic_63,Topic_64,Topic_65,Topic_66,Topic_67,Topic_68,Topic_69,Topic_70,Topic_71,Topic_72,Topic_73,Topic_74,Topic_75,Topic_76,Topic_77,Topic_78,Topic_79,Topic_80,Topic_81,Topic_82,Topic_83,Topic_84,Topic_85,Topic_86,Topic_87,Topic_88,Topic_89,Topic_90,Topic_91,Topic_92,Topic_93,Topic_94,Topic_95,Topic_96,Topic_97,Topic_98,Topic_99,Topic_100
8042410,108,0,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.9856484,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935,0.00014493935
8673465,108,0,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.98874956,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845,0.00011363845
9175625,108,0,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.638769,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.34866685,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163,0.00012821163
9245791,108,0,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.9769792,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341,0.00023256341
9346876,108,0,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.7884524,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.000120488585,0.19973911,0.000120488585,0.000120488585,0.000120488585,0.000120488585
9352931,108,0,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.98777556,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065,0.00012346065
10051610,108,0,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.9764285,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664,0.00023810664
10087618,108,0,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.48367995,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.00034484078,0.4825256
10320929,108,0,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.97893715,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157,0.00021277157
10700148,108,0,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.97250044,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802,0.0002777802
